=================================================================================================
t1[s]                t2[s]                t3[s]                t4[s]                phi[s]
=================================================================================================
1539402146.440543305,1539402146.439210094,1539402146.439258964,1539402146.453352419,-0.007713318
1539402148.488918445,1539402148.487710534,1539402148.487757078,1539402148.501850475,-0.007650733
1539402150.542540072,1539402150.543310773,1539402150.543357478,1539402150.557325751,-0.006598830
1539402152.563709547,1539402152.563691485,1539402152.563731053,1539402152.577957223,-0.007122159
1539402217.193540493,1539402217.209777590,1539402217.209823998,1539402217.223148979,+0.001456022
1539402281.287054077,1539402281.287845641,1539402281.287896320,1539402281.300235634,-0.005773902
1539402346.023635948,1539402346.027311547,1539402346.027358019,1539402346.039486014,-0.004226089
1539402411.106990176,1539402411.107481431,1539402411.107528700,1539402411.119410659,-0.005695343
1539402475.965198989,1539402475.966992015,1539402475.967037763,1539402475.977857457,-0.004513383
1539402540.785894509,1539402540.788788840,1539402540.788829609,1539402540.799090317,-0.003683209
1539402605.421079355,1539402605.423359325,1539402605.423406668,1539402605.433251684,-0.003782511
1539402670.370072104,1539402670.372970905,1539402670.373017388,1539402670.384209418,-0.004146695
1539402735.290999450,1539402735.293028447,1539402735.293074345,1539402735.302922222,-0.003909469
1539402800.223623626,1539402800.227498283,1539402800.227545659,1539402800.237670513,-0.003124952
1539402864.961352486,1539402864.963123343,1539402864.963173263,1539402864.974911994,-0.004984021
1539402929.483492244,1539402929.486480654,1539402929.486521839,1539402929.498291236,-0.004390478
1539402994.416082755,1539402994.419683453,1539402994.419729885,1539402994.430542226,-0.003605843
1539403058.558403222,1539403058.563777072,1539403058.563823839,1539403058.574937952,-0.002870202
1539403123.541505379,1539403123.541678666,1539403123.541724600,1539403123.554757574,-0.006429791
1539403188.411622438,1539403188.412997323,1539403188.413043566,1539403188.428853479,-0.007217646
1539403253.587076472,1539403253.587367725,1539403253.587416105,1539403253.600399976,-0.006346226
1539403317.896096976,1539403317.901823358,1539403317.901870100,1539403317.915068904,-0.003736258
1539403382.207454648,1539403382.206034515,1539403382.206073901,1539403382.221609403,-0.008477807
1539403447.492572899,1539403447.496097565,1539403447.496146123,1539403447.551006349,-0.025667667
1539403512.705883847,1539403512.703718476,1539403512.703765062,1539403512.718560952,-0.008480549
1539403577.375032860,1539403577.371617252,1539403577.371666118,1539403577.386425802,-0.009087563
1539403642.464606601,1539403642.466062143,1539403642.466109675,1539403642.481365449,-0.006900072
1539403706.862508000,1539403706.859480578,1539403706.859527372,1539403706.876562470,-0.010031223
1539403771.708358657,1539403771.705448202,1539403771.705495768,1539403771.721536120,-0.009475470
1539403836.514750730,1539403836.511369710,1539403836.511416513,1539403836.526064525,-0.009014606
1539403901.047467858,1539403901.051026460,1539403901.051072916,1539403901.066321646,-0.005845189
1539403966.286010751,1539403966.283767678,1539403966.283814859,1539403966.299277359,-0.008852720
1539404030.809733278,1539404030.817602645,1539404030.817649461,1539404030.885256596,-0.029868960
1539404160.677060488,1539404160.673683530,1539404160.673733890,1539404160.690758416,-0.010200739
